13:59:02 | LOCK_ACQUIRED | sim=0.67
13:59:05 | LOCK_LOST | Target disappeared
13:59:05 | LOCK_ACQUIRED | sim=0.70
13:59:06 | LOCK_LOST | Target disappeared
13:59:13 | LOCK_ACQUIRED | sim=0.69
13:59:13 | LOCK_LOST | Target disappeared
13:59:19 | LOCK_ACQUIRED | sim=0.71
13:59:21 | LOCK_LOST | Target disappeared
13:59:22 | LOCK_ACQUIRED | sim=0.69
13:59:23 | LOCK_LOST | Target disappeared
13:59:27 | LOCK_ACQUIRED | sim=0.69
13:59:30 | LOCK_LOST | Target disappeared
13:59:31 | LOCK_ACQUIRED | sim=0.69
13:59:32 | LOCK_LOST | Target disappeared
13:59:33 | LOCK_ACQUIRED | sim=0.69
13:59:37 | LOCK_LOST | Target disappeared
13:59:41 | LOCK_ACQUIRED | sim=0.66
13:59:43 | LOCK_LOST | Target disappeared
13:59:44 | LOCK_ACQUIRED | sim=0.70
13:59:46 | LOCK_LOST | Target disappeared
13:59:47 | LOCK_ACQUIRED | sim=0.69
13:59:48 | LOCK_LOST | Target disappeared
13:59:51 | LOCK_ACQUIRED | sim=0.68
13:59:52 | LOCK_LOST | Target disappeared
13:59:53 | LOCK_ACQUIRED | sim=0.66
13:59:56 | LOCK_LOST | Target disappeared
13:59:58 | LOCK_ACQUIRED | sim=0.71
13:59:58 | LOCK_LOST | Target disappeared
13:59:59 | LOCK_ACQUIRED | sim=0.69
14:00:00 | LOCK_LOST | Target disappeared
14:00:01 | LOCK_ACQUIRED | sim=0.68
14:00:02 | LOCK_LOST | Target disappeared
14:00:03 | LOCK_ACQUIRED | sim=0.68
